No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
364,CPRX,20.41%,46.08%,13.94%,49.36%,66.43%,37.67%,7.61%,5.51%,2.00,1.31M,1.54,9.50,1.90%,"1,038,406"
365,CPSI,2.30%,10.11%,-2.99%,11.27%,4.44%,10.82%,2.54%,2.70%,2.20,79.37K,0.33,32.37,-0.31%,"13,651"
366,CPSS,8.18%,6.84%,-6.49%,3.21%,139.15%,-5.15%,4.89%,5.90%,1.00,191.10K,0.27,11.18,-0.53%,"26,487"
367,CPUH,0.10%,0.15%,0.10%,0.82%,1.24%,1.03%,0.22%,0.21%,-,265.19K,0.15,9.82,-0.05%,"20,216"
368,CQP,8.07%,-0.95%,-20.06%,-3.26%,8.15%,7.07%,3.38%,4.29%,3.40,195.28K,0.47,45.13,0.29%,"47,213"
369,CR,3.26%,9.54%,-11.79%,-13.13%,6.61%,-8.79%,2.44%,2.85%,2.10,277.96K,0.17,93.44,0.70%,"24,432"
370,CRAI,5.18%,12.79%,10.82%,4.57%,14.42%,-0.91%,2.16%,2.41%,2.00,31.89K,0.63,92.44,-0.08%,"10,400"
371,CRAK,4.35%,-7.09%,-7.78%,-4.19%,8.40%,6.60%,1.95%,2.26%,-,78.45K,0.23,28.95,0.50%,"9,272"
372,CRC,5.41%,-1.93%,-8.69%,-6.85%,62.54%,-3.79%,4.96%,5.37%,1.30,908.33K,0.42,41.30,0.51%,"195,427"
373,CRGE,-9.19%,-35.69%,-45.85%,2.67%,0.29%,-1.70%,11.01%,10.32%,2.00,1.55M,0.53,3.75,8.38%,"426,202"
374,CRHC,0.10%,0.40%,0.10%,1.32%,1.43%,1.32%,0.22%,0.23%,-,364.26K,0.03,9.96,0.00%,"5,864"
375,CRK,8.56%,-20.76%,-28.35%,45.56%,130.66%,59.95%,5.59%,7.43%,2.30,3.97M,0.50,13.10,1.28%,"1,031,459"
376,CRNX,0.10%,19.57%,-11.29%,-15.24%,4.57%,-28.37%,7.40%,6.64%,1.90,322.37K,0.22,21.31,4.72%,"36,041"
377,CRT,14.28%,8.70%,17.13%,29.63%,64.18%,51.57%,5.95%,8.36%,-,83.18K,0.67,17.56,1.10%,"28,844"
378,CRU,0.10%,0.31%,0.36%,1.03%,1.76%,1.13%,0.19%,0.17%,-,44.48K,0.09,9.86,0.10%,"2,160"
379,CRVL,6.00%,16.40%,-12.43%,-20.38%,15.04%,-26.15%,3.18%,3.65%,-,36.62K,0.74,155.00,0.91%,"13,991"
380,CSGS,5.11%,11.64%,-3.39%,7.55%,36.08%,7.36%,2.42%,2.33%,1.00,192.41K,0.33,62.02,0.26%,"32,916"
381,CSL,4.15%,12.82%,8.17%,11.11%,37.59%,6.10%,3.02%,3.18%,1.80,355.74K,0.44,262.99,-0.10%,"80,347"
382,CSTR,4.73%,5.27%,-0.20%,-7.62%,2.11%,-3.19%,3.06%,2.75%,2.10,48.46K,1.00,20.57,1.01%,"24,995"
383,CSV,4.95%,14.26%,-21.26%,-29.24%,17.19%,-36.20%,2.92%,2.87%,1.70,127.73K,0.25,40.86,-0.61%,"16,575"
384,CTAQ,0.00%,0.10%,0.61%,0.82%,1.75%,0.71%,0.06%,0.09%,-,69.25K,2.84,9.87,0.00%,"101,316"
385,CTAS,2.45%,10.83%,-6.41%,-2.71%,2.14%,-12.74%,3.11%,2.47%,2.20,525.82K,0.44,390.98,1.11%,"118,694"
386,CTBI,1.74%,5.37%,3.61%,-9.45%,6.77%,-4.59%,1.73%,1.83%,2.50,48.51K,0.44,41.47,-0.34%,"10,886"
387,CTIC,-1.98%,11.21%,48.62%,190.54%,178.02%,160.08%,6.19%,7.97%,1.70,4.63M,0.36,6.68,3.57%,"861,675"
388,CTO,4.10%,10.92%,-1.49%,-0.26%,21.52%,4.18%,2.19%,2.61%,1.90,112.98K,0.41,21.53,0.96%,"23,870"
389,CTR,7.27%,6.73%,-11.37%,3.26%,25.75%,16.41%,2.94%,3.81%,-,42.91K,0.35,27.80,0.75%,"7,722"
390,CTRA,6.83%,-1.71%,-7.13%,30.82%,91.73%,52.85%,4.08%,4.74%,2.40,11.14M,0.41,28.33,0.69%,"2,349,936"
391,CTS,8.47%,8.02%,7.25%,1.48%,8.18%,-0.95%,3.61%,3.25%,2.30,164.79K,0.25,36.57,0.55%,"21,437"
392,CTSH,3.48%,2.48%,-20.32%,-22.68%,1.44%,-24.01%,2.39%,2.28%,2.40,3.31M,0.45,67.94,0.77%,"760,635"
393,CTVA,2.25%,-0.56%,-11.83%,10.58%,31.30%,13.66%,2.38%,2.83%,2.30,4.67M,0.29,53.79,0.09%,"694,129"
394,CUBI,10.07%,14.72%,-14.17%,-48.78%,9.56%,-41.46%,3.88%,3.97%,2.10,434.50K,0.42,38.71,1.15%,"93,499"
395,CVBF,1.63%,3.92%,8.96%,6.72%,30.30%,16.49%,2.05%,2.56%,2.60,929.54K,0.44,24.98,0.14%,"211,517"
396,CVCO,4.05%,24.36%,-3.86%,-19.11%,8.18%,-27.75%,2.49%,3.49%,2.30,53.94K,0.22,230.74,0.54%,"6,222"
397,CVE,5.27%,-12.41%,-2.98%,18.38%,127.13%,43.16%,3.87%,5.55%,2.00,11.05M,0.62,17.69,0.63%,"3,546,001"
398,CVEO,10.83%,-3.31%,1.80%,29.43%,38.88%,38.81%,3.62%,4.71%,1.00,43.76K,0.55,26.66,0.19%,"12,505"
399,CVI,1.04%,-15.36%,8.60%,39.87%,140.37%,84.89%,4.87%,7.05%,3.00,897.78K,0.43,30.55,-1.72%,"197,239"
400,CVII,0.01%,0.20%,0.00%,0.62%,0.41%,-0.41%,0.26%,0.22%,-,477.00K,24.05,9.78,-0.10%,"5,909,984"
401,CVLG,12.49%,36.33%,55.36%,26.38%,56.44%,10.75%,4.94%,5.02%,3.50,118.73K,1.01,29.00,-0.91%,"61,783"
402,CVLY,1.33%,1.38%,-2.77%,3.12%,1.74%,5.95%,2.00%,1.78%,-,10.28K,9.70,22.61,-0.81%,"51,380"
403,CVR,-1.50%,-1.02%,8.55%,8.96%,6.98%,7.33%,2.09%,2.66%,-,4.52K,0.27,28.85,2.30%,630
404,CVS,1.91%,7.72%,-6.41%,-8.88%,19.98%,-6.17%,2.05%,2.12%,2.20,5.20M,0.69,95.19,-1.65%,"1,855,146"
405,CVV,7.63%,12.80%,-15.99%,-15.90%,3.17%,2.42%,4.67%,4.10%,-,14.99K,2.03,4.35,2.84%,"15,651"
406,CVX,4.10%,-6.99%,-16.84%,12.14%,50.70%,23.23%,2.68%,3.24%,2.40,11.17M,0.58,146.14,1.06%,"3,353,831"
407,CW,2.81%,6.96%,-11.24%,-3.36%,20.04%,-2.95%,2.84%,2.95%,1.50,226.06K,0.24,135.57,0.74%,"27,473"
408,CWBC,1.78%,4.79%,1.38%,2.23%,6.06%,4.40%,1.27%,1.64%,3.00,2.95K,0.27,13.92,-0.57%,407
409,CWCO,5.18%,15.59%,31.50%,44.94%,20.64%,37.31%,3.13%,3.45%,2.50,80.01K,0.72,14.36,-1.71%,"29,482"
410,CWEN,-0.96%,8.63%,0.62%,3.16%,32.19%,-5.63%,3.21%,3.21%,-,738.76K,0.43,34.34,1.00%,"163,836"
411,CWEN-A,-0.70%,9.32%,0.87%,3.63%,28.09%,-6.15%,3.47%,3.09%,1.90,208.81K,0.32,31.58,0.51%,"34,390"
412,CWST,0.53%,12.68%,-15.21%,-3.11%,14.99%,-13.44%,2.92%,2.69%,2.10,237.18K,0.30,73.91,-0.04%,"37,257"
413,CXW,1.62%,5.02%,-14.08%,3.11%,18.22%,13.24%,3.08%,3.74%,1.50,978.62K,0.66,11.42,1.17%,"334,882"
414,CYAN,-6.92%,-2.95%,-6.92%,-1.50%,4.59%,-8.64%,4.72%,7.35%,-,13.72K,0.07,2.96,0.17%,469
415,CYBR,5.09%,14.27%,-19.48%,-6.14%,0.05%,-21.85%,4.22%,5.18%,1.70,401.30K,0.61,139.59,3.08%,"125,418"
416,CYTK,-10.36%,0.83%,4.52%,21.15%,48.07%,-12.29%,6.03%,7.57%,1.80,1.26M,0.80,40.06,0.20%,"514,949"
417,CYXT,1.08%,-5.30%,-7.19%,7.91%,31.00%,-3.73%,3.55%,5.85%,2.10,520.38K,0.27,12.32,1.48%,"73,457"
418,D,-1.85%,4.57%,-10.42%,-1.76%,2.53%,-0.99%,1.69%,1.91%,2.30,3.58M,0.89,76.76,-1.31%,"1,637,651"
419,DAC,13.13%,-3.67%,-28.48%,-11.01%,4.27%,-11.72%,4.14%,4.26%,1.70,390.89K,0.52,66.78,1.33%,"105,660"
420,DBA,1.32%,-9.03%,-12.65%,0.05%,9.92%,1.01%,1.15%,1.38%,-,2.78M,0.39,19.94,-0.05%,"565,016"
421,DBC,3.22%,-13.70%,-9.78%,17.72%,40.42%,23.39%,1.91%,2.30%,-,4.55M,0.40,25.66,0.08%,"944,642"
422,DBE,4.74%,-13.73%,-1.86%,36.10%,74.74%,48.65%,2.27%,2.95%,-,178.90K,0.32,25.45,0.24%,"29,672"
423,DBI,13.57%,6.24%,-1.35%,6.01%,7.56%,3.10%,4.71%,4.70%,2.80,1.34M,0.57,14.61,-0.27%,"394,106"
424,DBJP,2.23%,5.82%,1.93%,-2.70%,4.46%,-3.17%,0.56%,0.76%,-,14.34K,4.29,49.27,0.64%,"31,740"
425,DBMF,0.34%,-0.98%,4.16%,25.70%,21.93%,25.25%,1.09%,1.35%,-,258.01K,0.49,32.33,0.06%,"65,348"
426,DBO,6.63%,-12.37%,-6.41%,20.17%,48.32%,29.93%,2.86%,3.30%,-,1.28M,0.71,17.65,0.26%,"471,860"
427,DCOM,1.52%,6.38%,-11.83%,-19.46%,3.79%,-12.68%,2.64%,2.51%,1.60,163.30K,0.30,30.57,-0.44%,"24,904"
428,DCP,9.54%,0.99%,-14.29%,9.20%,22.70%,15.28%,3.48%,4.94%,1.80,570.40K,0.47,31.80,0.38%,"139,308"
429,DDS,7.57%,-22.40%,-28.86%,-14.08%,36.15%,-12.24%,4.61%,5.83%,3.40,247.51K,0.61,216.19,0.54%,"77,672"
430,DFAT,4.36%,5.20%,-8.64%,-13.75%,0.46%,-11.93%,2.00%,2.07%,-,523.36K,0.60,42.09,0.57%,"162,035"
431,DFIN,7.14%,19.51%,6.28%,-20.49%,4.72%,-32.16%,3.23%,3.52%,2.30,274.78K,0.50,32.54,1.77%,"71,289"
432,DG,-0.88%,5.65%,-1.93%,13.02%,9.40%,4.04%,2.27%,2.28%,2.10,2.06M,0.36,247.62,0.93%,"382,208"
433,DGICA,-1.20%,3.34%,24.02%,12.24%,7.11%,14.91%,2.21%,2.29%,2.70,100.25K,0.91,16.15,-1.64%,"47,242"
434,DGII,11.29%,14.89%,30.37%,7.32%,38.42%,6.76%,4.77%,3.99%,1.70,206.37K,1.03,26.58,1.33%,"109,444"
435,DGX,1.92%,6.78%,2.57%,-3.96%,0.30%,-21.01%,1.99%,2.34%,2.40,960.71K,0.68,135.11,-1.13%,"338,423"
436,DGZ,1.07%,7.83%,15.55%,5.85%,5.03%,8.70%,0.55%,0.57%,-,2.15K,0.01,10.70,-0.96%,10
437,DHIL,6.63%,10.06%,3.63%,0.69%,25.86%,-4.10%,2.43%,2.37%,-,9.73K,0.27,186.91,0.34%,"1,343"
438,DHS,1.11%,2.13%,-8.24%,-3.95%,7.24%,0.11%,1.36%,1.48%,-,114.10K,0.51,82.57,-0.08%,"29,803"
439,DHT,12.48%,20.39%,10.48%,22.32%,20.18%,31.98%,3.76%,4.42%,1.70,2.59M,0.57,6.82,-0.36%,"765,828"
440,DHX,3.02%,-4.84%,-13.54%,-10.35%,50.29%,-18.11%,3.29%,5.32%,2.00,486.04K,0.45,5.11,0.00%,"113,466"
441,DIG,10.29%,-12.60%,-23.15%,19.07%,119.81%,57.88%,5.70%,7.30%,-,324.83K,0.45,30.70,1.55%,"75,699"
442,DINO,1.88%,-3.50%,14.82%,22.38%,67.09%,40.63%,3.48%,4.61%,2.60,2.39M,0.55,45.81,-0.63%,"681,351"
443,DIT,17.33%,14.87%,22.91%,-0.53%,34.54%,-3.27%,8.00%,4.83%,-,1.40K,4.65,224.09,16.11%,"3,342"
444,DIV,1.81%,5.80%,-8.03%,-7.56%,1.76%,-5.43%,1.25%,1.53%,-,226.87K,0.49,19.69,0.00%,"56,849"
445,DIVZ,1.80%,1.62%,-7.12%,-6.53%,3.51%,-2.08%,0.90%,1.14%,-,14.63K,0.35,28.28,-0.11%,"2,642"
446,DJP,4.50%,-11.85%,-15.33%,13.77%,30.15%,19.72%,2.18%,2.62%,-,245.88K,0.15,34.46,0.29%,"19,447"
447,DK,4.67%,-18.48%,-3.04%,32.62%,51.93%,62.88%,4.57%,6.72%,3.10,1.67M,0.32,24.09,-0.50%,"275,010"
448,DKL,4.47%,9.65%,2.08%,18.54%,26.20%,15.98%,4.07%,4.65%,3.00,61.67K,0.15,49.70,0.28%,"4,697"
449,DKS,8.49%,28.23%,-9.16%,-17.67%,1.02%,-20.09%,3.05%,4.33%,2.30,2.63M,0.40,94.01,2.31%,"547,622"
450,DLCA,0.10%,0.31%,0.41%,0.92%,2.39%,0.72%,0.08%,0.13%,-,26.52K,0.00,9.86,0.10%,2
451,DLHC,6.99%,5.70%,-10.56%,-21.40%,47.98%,-23.94%,4.67%,4.37%,2.00,29.06K,1.26,15.60,-1.02%,"18,905"
452,DLN,1.95%,4.58%,-8.26%,-9.05%,0.30%,-8.80%,1.50%,1.46%,-,330.29K,0.32,60.28,0.08%,"55,054"
453,DLNG,8.28%,-2.86%,5.26%,12.02%,13.33%,17.65%,5.26%,7.25%,2.00,115.01K,0.38,3.42,0.59%,"22,273"
454,DLTR,3.70%,12.60%,-1.06%,30.12%,73.68%,21.13%,2.47%,2.79%,2.40,2.46M,0.76,173.13,1.72%,"956,988"
455,DMLP,9.03%,1.89%,3.54%,20.83%,71.46%,36.03%,4.95%,5.97%,-,143.67K,0.43,26.66,-0.97%,"31,851"
456,DNN,18.37%,16.48%,-31.76%,-14.71%,25.41%,-15.33%,6.49%,6.81%,2.20,7.80M,0.45,1.18,2.16%,"1,824,517"
457,DNOW,3.36%,4.74%,-8.39%,4.74%,15.98%,18.97%,3.50%,4.63%,1.80,747.39K,0.44,10.10,-0.64%,"168,270"
458,DNP,-0.81%,5.38%,-7.82%,-1.53%,4.78%,0.92%,1.27%,1.88%,-,628.27K,0.42,10.98,0.12%,"134,963"
459,DOG,-2.70%,-6.06%,6.32%,9.37%,1.45%,10.55%,1.68%,1.57%,-,1.83M,0.49,34.94,-0.20%,"459,200"
460,DON,2.86%,5.69%,-8.51%,-10.91%,0.70%,-9.08%,1.56%,1.70%,-,267.13K,0.41,40.43,0.24%,"56,126"
461,DORM,4.42%,21.85%,24.06%,10.13%,12.59%,3.25%,2.42%,2.62%,2.30,112.65K,0.98,114.41,-1.95%,"56,756"
462,DOX,3.90%,10.63%,3.71%,12.85%,10.98%,14.15%,1.77%,2.17%,-,703.76K,0.50,85.24,-0.23%,"180,395"
463,DQ,2.84%,25.00%,52.35%,59.22%,4.85%,67.31%,6.69%,7.88%,2.10,1.63M,1.03,65.01,-3.63%,"860,385"
464,DRE,3.46%,12.92%,0.70%,-1.54%,17.36%,-10.28%,3.22%,2.99%,-,3.49M,0.47,59.15,0.44%,"846,078"
465,DRH,6.59%,4.47%,-10.65%,-10.65%,4.71%,-7.49%,3.14%,4.40%,2.70,2.17M,0.86,8.94,0.56%,"960,853"
466,DRTS,6.16%,-15.23%,3.14%,5.84%,7.46%,7.13%,4.80%,11.65%,1.50,132.57K,0.18,10.83,2.90%,"12,514"
467,DRVN,7.37%,15.06%,12.87%,-6.81%,4.34%,-12.08%,3.68%,3.49%,1.80,422.87K,0.41,29.81,0.83%,"89,955"
468,DSAC,0.00%,0.60%,0.50%,0.40%,2.89%,0.50%,0.30%,0.21%,-,91.23K,61.35,10.01,0.40%,"2,883,903"
469,DSGN,17.58%,51.17%,41.84%,26.18%,11.36%,-6.59%,7.15%,7.48%,2.20,206.57K,0.59,21.00,5.00%,"62,359"
470,DSKE,10.49%,8.76%,-11.01%,-26.61%,10.67%,-30.78%,4.27%,5.77%,2.20,358.08K,0.47,6.94,-0.14%,"86,363"
471,DSX,14.48%,-3.11%,-6.04%,21.17%,35.33%,28.02%,4.48%,5.23%,-,1.22M,0.74,4.98,0.00%,"468,049"
472,DTD,2.05%,4.66%,-8.21%,-9.33%,0.50%,-8.70%,1.26%,1.34%,-,59.30K,0.38,59.20,0.15%,"11,595"
473,DTE,-0.89%,6.41%,-9.54%,3.95%,8.95%,3.81%,1.51%,1.92%,2.30,1.01M,0.79,122.51,-1.27%,"410,699"
474,DTM,4.94%,2.56%,-12.51%,-1.92%,23.31%,4.40%,2.63%,3.36%,2.40,557.04K,0.46,50.53,0.88%,"131,200"
475,DUK,-1.98%,6.03%,-7.62%,1.44%,1.59%,0.61%,1.46%,2.01%,2.40,2.90M,0.53,104.49,-0.99%,"783,991"
476,DUST,1.41%,36.20%,118.99%,14.46%,15.38%,21.17%,6.75%,6.96%,-,2.90M,1.04,23.43,2.10%,"1,554,857"
477,DVAX,-0.21%,45.79%,41.81%,7.54%,58.50%,3.41%,5.34%,6.02%,1.80,2.92M,0.69,15.17,4.26%,"1,039,702"
478,DVN,10.17%,-9.58%,-9.96%,13.53%,136.43%,29.88%,4.43%,5.67%,2.00,12.79M,0.67,57.41,0.35%,"4,420,317"
479,DVY,1.07%,4.13%,-8.17%,-7.09%,5.44%,-3.21%,1.42%,1.62%,-,1.22M,0.50,118.24,-0.35%,"315,244"
480,DWIN,0.10%,0.40%,0.90%,1.93%,2.97%,1.41%,0.05%,0.09%,-,117.22K,0.01,10.07,0.20%,346
481,DWSH,-3.65%,-10.57%,12.68%,18.52%,11.41%,16.00%,2.22%,3.01%,-,108.14K,0.73,9.47,-3.73%,"40,686"
482,DXD,-5.41%,-12.10%,11.63%,17.81%,1.27%,20.54%,3.42%,3.18%,-,1.43M,0.36,48.48,-0.57%,"264,064"
483,DXJ,2.29%,3.32%,2.08%,-0.79%,9.33%,2.86%,0.94%,1.01%,-,646.51K,0.28,64.57,0.37%,"93,293"
484,DXLG,19.10%,8.44%,-21.63%,-25.22%,22.90%,-25.35%,6.11%,6.94%,2.00,745.00K,0.32,4.32,1.77%,"123,591"
485,DXPE,6.12%,14.84%,22.18%,22.51%,5.21%,24.23%,3.38%,4.08%,1.00,96.24K,0.51,31.40,-1.55%,"25,170"
486,DXR,1.43%,3.48%,20.87%,15.58%,31.28%,13.42%,5.57%,3.96%,2.00,1.57K,2.59,12.78,-0.16%,"2,105"
487,DY,5.91%,20.08%,7.77%,4.11%,56.88%,7.07%,4.40%,3.97%,1.70,249.62K,0.94,100.79,0.40%,"120,949"
488,DZZ,2.11%,17.40%,34.27%,12.47%,11.44%,13.31%,1.93%,1.80%,-,12.01K,1.40,3.03,-0.59%,"8,668"
489,E,4.60%,-12.03%,-24.69%,-23.70%,3.99%,-16.17%,2.31%,2.38%,3.00,597.65K,0.90,22.61,-2.46%,"277,314"
490,EBC,0.74%,5.50%,-6.72%,-13.02%,4.53%,-4.96%,2.02%,2.15%,1.80,761.83K,0.36,19.17,0.03%,"142,375"
491,EBF,4.70%,26.30%,16.57%,8.89%,7.68%,8.45%,1.90%,2.66%,1.00,103.47K,0.69,21.21,0.14%,"37,002"
492,ECLN,1.90%,5.10%,-7.05%,1.78%,7.01%,-0.25%,0.52%,0.61%,-,2.43K,0.03,24.96,0.84%,43
493,ECPG,4.48%,17.90%,11.12%,-2.77%,43.22%,5.54%,4.34%,3.65%,2.20,309.60K,0.57,66.31,1.16%,"90,738"
494,ED,-0.65%,5.19%,-4.87%,10.42%,25.01%,8.09%,1.79%,2.16%,3.60,1.85M,0.43,91.47,-0.81%,"412,998"
495,EDAP,12.97%,11.56%,-3.51%,11.39%,23.32%,19.20%,5.38%,4.80%,2.00,50.28K,0.36,7.10,-0.56%,"9,300"
496,EDN,7.35%,-5.81%,-31.78%,-13.78%,3.55%,-17.36%,5.90%,5.94%,4.20,9.78K,1.97,4.59,4.86%,"9,941"
497,EDZ,-5.46%,-1.66%,24.69%,61.80%,65.58%,48.43%,4.11%,3.75%,-,752.63K,0.43,14.36,1.20%,"168,429"
498,EEV,-3.54%,-0.61%,16.95%,42.87%,44.58%,35.24%,2.48%,2.18%,-,24.11K,0.70,23.34,0.69%,"8,635"
499,EFSC,2.84%,2.69%,-5.95%,-14.35%,0.54%,-9.11%,2.38%,2.54%,2.00,113.37K,0.27,42.74,-0.14%,"15,719"
500,EFU,-6.09%,-5.37%,18.26%,40.28%,28.67%,39.28%,2.50%,2.14%,-,8.11K,0.89,13.60,0.00%,"3,733"
501,EFZ,-3.18%,-2.73%,9.16%,18.55%,11.44%,18.06%,1.35%,1.23%,-,161.40K,1.02,21.02,0.17%,"84,705"
502,EGLE,17.49%,-10.70%,-27.28%,15.83%,35.12%,13.23%,4.58%,5.20%,1.80,456.75K,0.75,50.81,-1.38%,"176,579"
503,EGY,-14.29%,-34.33%,-33.75%,28.78%,123.73%,64.49%,7.31%,9.08%,-,2.08M,0.58,5.32,0.76%,"616,789"
504,EIDO,1.70%,-3.41%,-10.59%,-6.51%,11.21%,-3.70%,0.95%,0.91%,-,952.77K,0.63,22.49,1.65%,"308,195"
505,EIG,-0.24%,5.96%,1.36%,1.04%,2.42%,2.02%,2.39%,2.30%,2.70,132.84K,0.65,40.85,-0.90%,"44,462"
506,EIGR,-0.12%,62.64%,29.82%,79.87%,7.20%,63.58%,6.90%,8.04%,1.00,427.16K,0.28,8.68,2.24%,"61,555"
507,EINC,6.08%,4.39%,-9.44%,3.67%,16.96%,13.22%,1.59%,1.86%,-,4.60K,0.23,60.00,-0.66%,544
508,EIX,-1.03%,2.17%,-14.09%,-3.31%,9.70%,-9.68%,2.07%,2.29%,2.20,1.79M,0.77,61.48,-0.26%,"715,132"
509,ELA,5.38%,38.34%,65.19%,91.91%,105.51%,92.38%,4.99%,6.64%,2.00,82.41K,1.90,7.59,-3.07%,"80,799"
510,ELF,4.01%,27.22%,28.42%,9.23%,29.97%,-2.32%,2.60%,3.60%,2.00,581.78K,0.58,32.69,0.77%,"174,584"
511,ELP,-1.75%,-6.94%,-21.60%,10.77%,14.16%,9.59%,2.34%,2.54%,2.70,814.08K,0.29,6.19,0.32%,"123,356"
512,ELSE,0.43%,4.55%,15.26%,-6.32%,9.24%,-6.83%,1.31%,2.48%,-,12.51K,0.42,5.82,-0.51%,"2,715"
513,ELV,4.07%,9.38%,-3.03%,10.02%,29.39%,7.31%,2.47%,2.83%,2.00,1.12M,1.98,457.60,-8.01%,"1,143,445"
514,EMCF,-4.30%,-6.43%,-13.63%,13.60%,22.94%,13.84%,1.18%,1.57%,-,2.39K,1.19,32.75,-0.46%,"1,461"
515,EMLP,2.95%,4.30%,-7.26%,2.59%,11.02%,4.93%,1.58%,1.85%,-,599.33K,0.37,26.12,-0.27%,"115,364"
516,EMO,8.42%,5.29%,-15.54%,2.41%,28.22%,16.71%,2.98%,4.25%,-,60.98K,0.39,25.70,0.82%,"12,332"
517,ENB,3.38%,5.32%,-6.58%,3.58%,14.15%,10.41%,1.72%,2.07%,2.30,4.00M,0.50,43.07,-0.19%,"1,025,262"
518,ENFR,5.87%,4.40%,-10.21%,2.33%,13.87%,11.35%,2.00%,2.51%,-,59.19K,0.29,21.11,0.05%,"8,906"
519,ENLC,13.18%,6.12%,-7.33%,20.31%,77.27%,35.85%,4.53%,5.30%,2.90,2.48M,0.27,9.36,0.05%,"346,874"
520,ENPH,12.60%,25.79%,12.27%,49.36%,29.08%,16.62%,7.73%,7.40%,2.00,2.86M,1.07,217.66,2.02%,"1,568,765"
521,ENSV,3.87%,-23.89%,-48.21%,138.55%,45.74%,120.40%,8.39%,10.17%,2.00,708.06K,0.13,1.91,1.60%,"48,163"
522,ENTA,-0.18%,28.07%,-27.70%,-15.05%,20.78%,-31.84%,4.65%,6.26%,2.40,283.74K,0.20,51.51,1.06%,"29,700"
523,ENVA,10.88%,22.46%,-13.59%,-26.12%,7.09%,-20.39%,3.09%,3.33%,1.80,281.73K,0.31,33.07,1.41%,"45,660"
524,EOG,4.15%,-13.33%,-14.82%,0.31%,54.13%,19.28%,3.62%,4.62%,2.10,4.49M,0.47,104.74,1.08%,"1,094,228"
525,EOLS,0.39%,13.70%,19.43%,126.61%,23.04%,100.15%,5.29%,5.25%,1.90,503.62K,1.53,13.73,5.37%,"397,231"
526,EP,-10.24%,-47.86%,-60.65%,-24.50%,27.54%,-25.19%,10.77%,13.56%,-,99.26K,0.45,9.71,7.53%,"22,875"
527,EPD,2.43%,4.68%,-5.42%,5.38%,8.97%,15.12%,2.18%,2.90%,1.80,7.26M,0.48,25.50,0.85%,"1,808,035"
528,EPHY,0.00%,0.31%,0.31%,1.03%,1.13%,0.92%,0.16%,0.19%,-,111.53K,0.07,9.85,0.00%,"3,998"
529,EPM,12.88%,-9.27%,-16.38%,10.96%,42.13%,16.24%,4.98%,6.23%,2.00,180.97K,0.72,5.91,0.63%,"66,864"
530,EPR,8.36%,18.41%,-3.12%,9.43%,4.91%,9.69%,2.27%,2.48%,2.70,501.57K,0.60,51.90,-0.36%,"154,075"
531,EPSN,8.36%,-0.65%,-16.92%,7.33%,18.25%,7.22%,3.08%,5.21%,-,217.78K,0.05,6.02,-1.15%,"5,761"
532,EPV,-8.06%,-6.20%,19.64%,38.97%,19.08%,37.87%,3.26%,2.88%,-,639.85K,0.85,15.44,0.98%,"281,129"
533,EPWR,0.41%,0.61%,0.92%,0.92%,0.41%,1.44%,0.11%,0.14%,-,58.89K,0.46,9.84,-0.40%,"14,049"
534,EQBK,4.16%,-0.76%,-2.75%,-13.62%,6.22%,-11.41%,3.01%,2.97%,2.20,50.06K,0.46,30.15,0.30%,"11,821"
535,EQC,1.05%,3.15%,2.58%,3.92%,3.11%,7.41%,1.36%,1.38%,3.50,793.22K,0.82,27.33,-1.76%,"336,382"
536,EQNR,4.61%,0.15%,-10.72%,18.39%,83.57%,31.70%,2.42%,2.93%,1.30,3.80M,0.86,35.28,2.34%,"1,680,917"
537,EQS,-6.11%,-12.96%,-14.00%,-9.66%,11.40%,-9.63%,1.40%,5.64%,-,17.08K,0.00,2.13,-0.93%,10
538,EQT,13.81%,1.43%,-13.98%,64.52%,108.19%,79.46%,5.84%,6.34%,1.90,8.48M,0.50,40.18,2.66%,"2,178,154"
539,ERF,10.39%,-13.77%,-3.77%,11.13%,128.57%,25.52%,5.01%,6.54%,1.90,2.74M,0.47,13.18,-0.75%,"661,374"
540,ERIE,-0.31%,12.38%,7.10%,4.52%,4.89%,-0.67%,1.83%,2.35%,2.00,74.13K,0.18,192.31,0.50%,"6,826"
541,ERII,4.23%,8.12%,0.05%,1.27%,1.58%,-7.07%,3.19%,3.40%,2.00,411.49K,0.21,20.06,0.45%,"44,411"
542,ERX,9.95%,-14.13%,-23.57%,19.12%,123.25%,60.36%,5.81%,7.52%,-,5.15M,0.69,48.11,1.22%,"1,830,678"
543,ESEA,6.50%,-7.50%,-9.30%,-15.63%,29.68%,-5.98%,4.59%,5.50%,2.00,68.45K,0.25,23.20,-0.94%,"8,784"
544,ESLT,5.75%,21.28%,5.84%,30.40%,87.40%,33.42%,1.54%,2.12%,2.50,24.79K,0.74,225.75,-2.83%,"9,459"
545,ESQ,-0.29%,3.75%,2.76%,0.44%,50.74%,9.87%,2.41%,3.44%,-,59.87K,0.24,34.62,0.03%,"7,346"
546,ESSA,2.77%,3.46%,0.29%,-1.73%,4.15%,-1.62%,1.21%,2.14%,3.00,9.72K,0.12,16.83,-1.29%,618
